Target area,Source area,FLN,SLN
10,TEav,0.0000539931371883285,0.435515873015873
10,TEMPORAL_POLE,0.0287151775033946,0.441398403329312
10,TEpd,0.00000910752903274486,0.833333333333333
10,TEpv,0.0000129630319300397,0.0833333333333333
10,TH/TF,0.00120067431392236,0.126679419155331
10,V2,0.00000722852641596683,0.666666666666666
24c,1,0.0000276916260522817,0
24c,2,0.00224302171023482,0.290123456790123
24c,3,0.000526140894993353,0.31578947368421
24c,5,0.0255732166592822,0.429344883595018
24c,9,0.0133473637571998,0.75207468879668
24c,10,0.000152303943287549,0.272727272727272
24c,11,0.0000415374390784226,0
24c,12,0.0207687195392113,0.978666666666666
24c,23,0.0239947939743021,0.594345066358915
24c,31,0.00031845369960124,0.260869565217391
24c,32,0.00193841382365972,0.778571428571428
24c,44,0.0160334514842711,0.88860103626943
